Date,Open,High,Low,Close,Volume,Balance,OBV,cruce,rsi,sigma,OBV_osc,cruce_volumen,cruce_precio,cruce_50_200,cruce_20_100,rsi_media,OBV_media,gatillo
2003-08-18,8.65215365634902,9.144052259309676,8.590665702704593,9.126484870910645,3703800,3703800,102253300,0.04822272358969237,67.83376694328257,0.04585467773413604,1.8346346563580922,1.002787325318363,1.2861142115013386,1.0482227235896924,1.1598500515167607,60.40525632431441,2.7781890210110984,compra
2005-03-04,6.271711996033654,6.359551017492207,6.087249841545944,6.254144191741943,10229000,10229000,33837000,-0.08438598103575323,37.941577436052995,0.021652595123212517,-0.8753642043134774,3.827774472273052,0.8917612436641014,0.9156140189642468,0.8764971336896461,38.32322509330315,0.4498925088370033,venta
2006-04-24,6.544012645649083,6.73725889616472,6.350766813982905,6.710906982421875,8593900,-8593900,41464500,0.0008197689496516336,70.8251674697645,0.02260708018486451,1.6247778811659481,1.6676450013243902,1.2270726406316566,1.0008197689496516,1.1645763193758056,73.57378518505155,8.069240032475847,compra
2011-09-30,16.364420872597652,16.434692073900685,15.758332389633082,15.775898933410645,4682200,-4682200,70252500,-0.2066108926132748,37.92305669109571,0.04210779795410984,-0.8852777195846658,1.2232618836435554,0.8354807556540937,0.7933891073867252,0.8907087303630378,46.28164556308643,0.7750283007647508,venta
2012-03-02,24.006428714278556,24.735493260818227,23.909805157077543,24.12061882019043,5231500,5231500,175688300,0.0038812776266217153,78.47662109092715,0.02486301809287721,2.144562403613424,1.2660173029221369,1.2939403362190045,1.0038812776266217,1.1801442891976848,74.54136343853922,1.932518600217772,compra
2012-11-13,17.822554622295804,18.463779665602797,17.796202288519577,18.314453125,3804100,3804100,161345300,-0.06426601580951863,39.37145674137969,0.044532518395353826,-0.8907695363901644,0.7874271638670682,0.8523145718542356,0.9357339841904814,0.8744311357129391,38.58237156840133,0.8419044635130127,venta
2014-01-17,27.71323545753462,27.93283320815026,26.588896046637185,26.817277908325195,13657000,13657000,238296600,0.11396244467600947,67.36180643591969,0.018707382169259833,2.81226770021649,4.244744964085796,1.1174309182889368,1.1139624446760095,1.0710548956786898,57.62723689343568,1.1284229348969,compra
2016-01-05,69.6626079840068,69.73402182472161,64.96725351818752,65.4225082397461,6011000,-6011000,376911600,-0.1189984842560784,39.11611828889143,0.027274946747620828,-0.7880392017496884,1.8961098362077804,0.9184838695901552,0.8810015157439216,0.9532552906709968,46.06865579549833,0.9799849907008553,venta
2017-01-20,77.13242614062763,80.67144472466516,76.85112186072166,80.46273040771484,15776700,15776700,401065500,0.0767159770244139,69.13002234565987,0.028019167816180912,4.059366162739332,5.806223674695137,1.1525479029189623,1.076715977024414,1.0349940354487372,53.87166206612096,1.0457632400921093,compra
2018-10-10,80.97714094388802,81.03279944666701,78.65794229299524,78.66722106933594,2699500,-2699500,422213300,-0.06453501532044303,37.467970625084924,0.01560487881849817,-0.8268467742405841,1.4184527594016174,0.9319554338195164,0.935464984679557,0.9573565676404455,46.5589048553444,0.980863427665866,venta
2019-04-12,83.44161628887358,84.97832819336946,83.08554418856035,84.96895599365234,1532200,1532200,439241300,0.0004524701464714287,67.60906165122276,0.016051724717873264,1.372029225783564,1.053623248201785,1.0985182803109548,1.0004524701464714,1.060229012084597,61.56312630586301,1.0534988589308065,compra
2021-11-26,151.37560028972825,153.15580648651218,148.26514980317137,149.1454620361328,1667800,-1667800,526809400,-0.06502291221937184,35.677372284958466,0.016076064288021736,-0.8506882937678764,0.8062516164431242,0.9295115859597932,0.9349770877806282,0.9527360669419025,42.68533952645491,0.9848210950642412,venta
